channel,total_spend,incremental_outcome_mean,incremental_outcome_ci_lo,incremental_outcome_ci_hi,roi_mean,roi_ci_lo,roi_ci_hi,pct_of_contribution_mean,pct_of_contribution_ci_lo,pct_of_contribution_ci_hi,credible_interval
TikTok,589241.5,482158.375,457890.6875,506899.625,0.8182706236839294,0.7770849466323853,0.8602578639984131,22.59746551513672,21.460079193115234,23.756996154785156,90%
Facebook,442717.0,297904.1875,275621.5,319832.46875,0.6729004383087158,0.6225681304931641,0.722430944442749,13.96194839477539,12.917623519897461,14.989670753479004,90%
Google Ads,304144.59375,397946.8125,370264.28125,429687.0625,1.3084160089492798,1.2173956632614136,1.412772297859192,18.650663375854492,17.353271484375,20.138256072998047,90%
All Channels,1336103.125,1178010.5,1133685.5,1226502.5,0.8816757202148438,0.8485015630722046,0.9179699420928955,55.210060119628906,53.13273239135742,57.48280715942383,90%
Baseline (non-media),,955617.7999999998,,,,,,44.789939880371094,,,90%
