channel,ridge_contribution,incremental_outcome_mean,incremental_outcome_ci_lo,incremental_outcome_ci_hi,ridge_roi,roi_mean,roi_ci_lo,roi_ci_hi,ridge_pct_of_sales,pct_of_contribution_mean
TikTok,182133.85,482158.375,457890.6875,506899.625,0.309,0.8182706236839294,0.7770849466323853,0.8602578639984131,8.54,22.59746551513672
Facebook,111881.07,297904.1875,275621.5,319832.46875,0.253,0.6729004383087158,0.6225681304931641,0.722430944442749,5.24,13.96194839477539
Google Ads,100766.17,397946.8125,370264.28125,429687.0625,0.331,1.3084160089492798,1.2173956632614136,1.412772297859192,4.72,18.650663375854492
